crash_date,crash_level,crash_record,crash_address,crash_impaired,num_vehicles,acc_persons,pedestrians,latitude,longitude
5/15/2023 23:00,Property,20230285758,Mm 49 2 I 24,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.1632,-86.7617
5/15/2023 23:05,Property,20230285677,Mm 33 4 I 24,No Impaired Drivers,1 Vehicle,3 Persons,No Pedestrians,36.3289,-86.8939
5/15/2023 23:50,Injury,20230285808,Harding Pl & Metroplex Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0868,-86.6943
5/16/2023 0:00,Injury,20230287078,Old Hickory Blvd & Hermitage Marketplace,No Impaired Drivers,4 Vehicles,8 Persons,No Pedestrians,36.1942,-86.6183
5/16/2023 0:00,Injury,20230287360,Briley Pkwye & Briley Pkwy E Ent Ramp,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.2342,-86.7196
5/16/2023 0:00,Injury,20230287417,Hermitage Av & Academy Pl,No Impaired Drivers,3 Vehicles,3 Persons,No Pedestrians,36.1555,-86.7657
5/16/2023 0:00,Injury,20230287554,I65 S Ext Ramp & Briley Pkwye,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.2402,-86.749
5/16/2023 0:00,Injury,20230287978,3400 Skyline Memorial Ct,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.2439,-86.7566
5/16/2023 0:00,Property,20230285814,I24 E Ext Ramp & I 24,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1366,-86.7272
5/16/2023 0:00,Property,20230287052,Lea Av & 5th Avs,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1535,-86.7745
5/16/2023 1:40,Property,20230286009,32nd Avn & Albion St,No Impaired Drivers,4 Vehicles,1 Person,No Pedestrians,36.1631,-86.8247
5/16/2023 4:00,Injury,20230286062,3700 Chesapeake Dr,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.244,-86.7677
5/16/2023 6:11,Property,20230286200,Mm 87 3 I 65,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2062,-86.7765
5/16/2023 6:43,Injury,20230286206,Bridgecrest Dr & Bridgecrest Way,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0658,-86.6494
5/16/2023 6:53,Property,20230286211,Mm 213 2 I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1412,-86.7174
5/16/2023 7:05,Injury,20230286232,Nolensville Pke & Chilton St,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1004,-86.7398
5/16/2023 7:15,Property,20230286249,46th Avn & Charlotte Av,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1523,-86.8422
5/16/2023 7:16,Property,20230286408,Bell Rd & Hickory Hollow Pkwy,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0479,-86.6553
5/16/2023 7:35,Property,20230286421,Mm 93 6 I 65,No Impaired Drivers,2 Vehicles,7 Persons,No Pedestrians,36.283,-86.7307
5/16/2023 7:45,Property,20230286419,Briley Pkwyw & Briley Pkwye,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2345,-86.7189
5/16/2023 8:11,Property,20230286484,Pin Hook & Murfreesboro,No Impaired Drivers,2 Vehicles,7 Persons,No Pedestrians,36.0508,-86.6136
5/16/2023 8:12,Injury,20230286374,Bell Rd & Smith Springs Rd,No Impaired Drivers,2 Vehicles,6 Persons,No Pedestrians,36.09,-86.6269
5/16/2023 8:48,Property,20230286459,Old Ezell Rd & Donelson Pke,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0984,-86.6773
5/16/2023 9:20,Injury,20230286623,Carroll St & I24 W Ent Ramp,No Impaired Drivers,3 Vehicles,1 Person,No Pedestrians,36.1533,-86.7636
5/16/2023 9:20,Property,20230286536,I65 S Ent Ramp & I 65,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1849,-86.7985
5/16/2023 10:16,Property,20230286588,Mm 39 2 I 24,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2923,-86.8105
5/16/2023 10:23,Injury,20230286593,Murfreesboro Pke & Lakevilla Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0771,-86.6415
5/16/2023 10:45,Property,20230286632,Gallatin Pke & Burchwood Av,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2008,-86.74
